,Mkt-RF,SMB,HML,Intercept
Average Coefficients,-0.0004883626174346998,-0.005311750055612675,-0.0029651706838903884,0.011603137271132262
Average t statistics,-0.9457490582058744,0.4038930571579035,-0.6346485827966679,1.7410435677501477
