,Total_Score,Mkt-RF,SMB,HML,Intercept
Average Coefficients,0.0010087691850284356,-8.300315118658572e-05,-0.006167054414867768,-0.003049968744445195,-0.059002853442752634
Average t statistics,0.009575057075017839,-0.9677494550209886,0.43156158017104435,-0.64222393742371,0.0682101004171344
